date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,one_yr_monthly_beta
05/11/2018,05/11/2018,9.96E+11,9.2988,16.7365,0.01365,0.05975,0.814
02/11/2018,02/11/2018,1.03E+12,9.5705,17.2255,0.013263,0.058053,0.814
01/11/2018,01/11/2018,1.10E+12,10.2504,18.4493,0.012383,0.054203,0.814
31/10/2018,31/10/2018,1.08E+12,10.0954,18.1703,0.012573,0.055035,0.814
30/10/2018,30/10/2018,1.05E+12,9.839,17.7087,0.012901,0.056469,0.814
29/10/2018,29/10/2018,1.05E+12,9.7901,17.6207,0.012965,0.056751,0.814
26/10/2018,26/10/2018,1.07E+12,9.9774,17.9578,0.012722,0.055686,0.814
25/10/2018,25/10/2018,1.09E+12,10.1388,18.2483,0.012519,0.054799,0.814
24/10/2018,24/10/2018,1.06E+12,9.9215,17.8573,0.012793,0.055999,0.814
23/10/2018,23/10/2018,1.10E+12,10.274,18.4916,0.012355,0.054079,0.814
22/10/2018,22/10/2018,1.09E+12,10.178,18.3189,0.012471,0.054588,0.814
19/10/2018,19/10/2018,1.08E+12,10.1162,18.2077,0.012547,0.054922,0.814
18/10/2018,18/10/2018,1.07E+12,9.9644,17.9345,0.012738,0.055758,0.814
17/10/2018,17/10/2018,1.09E+12,10.2029,18.3637,0.012441,0.054455,0.6712
16/10/2018,16/10/2018,1.10E+12,10.2472,18.4434,0.012387,0.05422,0.6712
15/10/2018,15/10/2018,1.07E+12,10.0263,18.0458,0.01266,0.055415,0.6712
12/10/2018,12/10/2018,1.10E+12,10.2454,18.4401,0.012389,0.05423,0.6712
11/10/2018,11/10/2018,1.06E+12,9.892,17.8042,0.012832,0.056167,0.6712
10/10/2018,10/10/2018,1.07E+12,9.9801,17.9627,0.012718,0.055671,0.6712
09/10/2018,09/10/2018,1.12E+12,10.4649,18.8353,0.012129,0.053092,0.6712
08/10/2018,08/10/2018,1.11E+12,10.3219,18.5779,0.012297,0.053827,0.6712
05/10/2018,05/10/2018,1.11E+12,10.3459,18.6211,0.012269,0.053702,0.6712
04/10/2018,04/10/2018,1.13E+12,10.5166,18.9283,0.01207,0.052831,0.6712
03/10/2018,03/10/2018,1.15E+12,10.7048,19.267,0.011857,0.051902,0.6712
02/10/2018,02/10/2018,1.13E+12,10.5761,19.0354,0.012002,0.052534,0.6712
01/10/2018,01/10/2018,1.12E+12,10.4829,18.8677,0.012108,0.053001,0.6712
28/09/2018,28/09/2018,1.10E+12,9.5634,19.5884,0.01219,0.051051,0.6712
27/09/2018,27/09/2018,1.10E+12,9.5299,19.5198,0.012233,0.05123,0.6712
26/09/2018,26/09/2018,1.07E+12,9.338,19.1267,0.012484,0.052283,0.6712
25/09/2018,25/09/2018,1.08E+12,9.413,19.2803,0.012385,0.051866,0.6712
24/09/2018,24/09/2018,1.08E+12,9.3537,19.1588,0.012463,0.052195,0.6712
21/09/2018,21/09/2018,1.06E+12,9.2211,18.8872,0.012642,0.052946,0.6712
20/09/2018,20/09/2018,1.07E+12,9.3215,19.0929,0.012506,0.052376,0.6712
19/09/2018,19/09/2018,1.06E+12,9.2511,18.9489,0.012601,0.052774,0.6712
18/09/2018,18/09/2018,1.06E+12,9.2456,18.9376,0.012609,0.052805,0.6712
17/09/2018,17/09/2018,1.06E+12,9.2304,18.9063,0.01263,0.052892,0.4864
14/09/2018,14/09/2018,1.09E+12,9.4829,19.4235,0.012293,0.051484,0.4864
13/09/2018,13/09/2018,1.10E+12,9.5918,19.6465,0.012154,0.0509,0.4864
12/09/2018,12/09/2018,1.08E+12,9.3655,19.1831,0.012447,0.052129,0.4864
11/09/2018,11/09/2018,1.09E+12,9.4833,19.4244,0.012293,0.051482,0.4864
10/09/2018,10/09/2018,1.06E+12,9.2494,18.9454,0.012604,0.052783,0.4864
07/09/2018,07/09/2018,1.08E+12,9.3753,19.2031,0.012434,0.052075,0.4864
06/09/2018,06/09/2018,1.09E+12,9.4515,19.3593,0.012334,0.051655,0.4864
05/09/2018,05/09/2018,1.10E+12,9.6112,19.6864,0.012129,0.050796,0.4864
04/09/2018,04/09/2018,1.11E+12,9.6744,19.8157,0.01205,0.050465,0.4864
31/08/2018,31/08/2018,1.11E+12,9.6434,19.7524,0.012089,0.050627,0.4864
30/08/2018,30/08/2018,1.10E+12,9.5333,19.5268,0.012228,0.051212,0.4864
29/08/2018,29/08/2018,1.09E+12,9.4464,19.3489,0.012341,0.051683,0.4864
28/08/2018,28/08/2018,1.07E+12,9.3075,19.0643,0.012525,0.052454,0.4864
27/08/2018,27/08/2018,1.06E+12,9.2329,18.9115,0.012626,0.052878,0.4864
24/08/2018,24/08/2018,1.05E+12,9.1575,18.7571,0.01273,0.053313,0.4864
23/08/2018,23/08/2018,1.05E+12,9.1291,18.6989,0.01277,0.053479,0.4864
22/08/2018,22/08/2018,1.05E+12,9.1105,18.6608,0.012796,0.053588,0.4864
21/08/2018,21/08/2018,1.05E+12,9.1101,18.6599,0.012796,0.053591,0.4864
20/08/2018,20/08/2018,1.05E+12,9.1279,18.6963,0.012772,0.053486,0.4864
17/08/2018,17/08/2018,1.06E+12,9.2177,18.8803,0.012647,0.052965,0.4864
16/08/2018,16/08/2018,1.04E+12,9.0372,18.5106,0.0129,0.054023,0.0645
15/08/2018,15/08/2018,1.02E+12,8.9067,18.2434,0.013089,0.054814,0.0645
14/08/2018,14/08/2018,1.02E+12,8.886,18.2009,0.013119,0.054942,0.0645
13/08/2018,13/08/2018,1.02E+12,8.8487,18.1245,0.013174,0.055174,0.0645
10/08/2018,10/08/2018,1.01E+12,8.7919,18.0082,0.01326,0.05553,0.0645
09/08/2018,09/08/2018,1.01E+12,8.8182,18.062,0.012734,0.055365,0.0645
08/08/2018,08/08/2018,1.01E+12,8.7494,17.9211,0.012834,0.0558,0.0645
07/08/2018,07/08/2018,1.01E+12,8.7435,17.909,0.012843,0.055838,0.0645
06/08/2018,06/08/2018,1.01E+12,8.8262,18.0784,0.012722,0.055314,0.0645
03/08/2018,03/08/2018,1.01E+12,8.7806,17.9851,0.012789,0.055602,0.0645
02/08/2018,02/08/2018,1.01E+12,8.7553,17.9332,0.012826,0.055763,0.0645
01/08/2018,01/08/2018,9.78E+11,8.5066,17.4239,0.0132,0.057393,0.0645
31/07/2018,31/07/2018,9.23E+11,8.0334,16.4545,0.013978,0.060774,0.0645
30/07/2018,30/07/2018,9.22E+11,8.0173,16.4217,0.014006,0.060895,0.0645
27/07/2018,27/07/2018,9.27E+11,8.0625,16.5142,0.013928,0.060554,0.0645
26/07/2018,26/07/2018,9.42E+11,8.1989,16.7935,0.013696,0.059547,0.0645
25/07/2018,25/07/2018,9.45E+11,8.2246,16.8462,0.013653,0.05936,0.0645
24/07/2018,24/07/2018,9.37E+11,8.1478,16.6889,0.013782,0.05992,0.0645
23/07/2018,23/07/2018,9.30E+11,8.0891,16.5687,0.013882,0.060355,0.0645
20/07/2018,20/07/2018,9.29E+11,8.0819,16.554,0.013894,0.060408,0.0645
19/07/2018,19/07/2018,9.31E+11,8.1005,16.592,0.013862,0.06027,0.0645
18/07/2018,18/07/2018,9.24E+11,8.038,16.464,0.01397,0.060738,0.0645
17/07/2018,17/07/2018,9.29E+11,8.0823,16.5548,0.013893,0.060405,0.0645
16/07/2018,16/07/2018,9.26E+11,8.0595,16.5081,0.013933,0.060576,0.1165
13/07/2018,13/07/2018,9.28E+11,8.0773,16.5445,0.013902,0.060443,0.1165
12/07/2018,12/07/2018,9.27E+11,8.0646,16.5185,0.013924,0.060538,0.1165
11/07/2018,11/07/2018,9.12E+11,7.9316,16.2461,0.014157,0.061553,0.1165
10/07/2018,10/07/2018,9.24E+11,8.0359,16.4597,0.013974,0.060754,0.1165
09/07/2018,09/07/2018,9.25E+11,8.0456,16.4796,0.013957,0.060681,0.1165
06/07/2018,06/07/2018,9.12E+11,7.9354,16.2539,0.014151,0.061524,0.1165
05/07/2018,05/07/2018,9.00E+11,7.8269,16.0317,0.014347,0.062376,0.1165
03/07/2018,03/07/2018,8.93E+11,7.7645,15.9037,0.014462,0.062878,0.1165
02/07/2018,02/07/2018,9.08E+11,7.9021,16.1856,0.01421,0.061783,0.1165
29/06/2018,29/06/2018,9.24E+11,7.2839,17.333,0.014369,0.057693,0.1165
28/06/2018,28/06/2018,9.26E+11,7.2992,17.3695,0.014339,0.057572,0.1165
27/06/2018,27/06/2018,9.19E+11,7.2465,17.2441,0.014443,0.057991,0.1165
26/06/2018,26/06/2018,9.21E+11,7.2571,17.2693,0.014422,0.057906,0.1165
25/06/2018,25/06/2018,9.09E+11,7.1682,17.0577,0.014601,0.058624,0.1165
22/06/2018,22/06/2018,9.23E+11,7.2764,17.3152,0.014384,0.057753,0.1165
21/06/2018,21/06/2018,9.26E+11,7.2976,17.3658,0.014342,0.057585,0.1165
20/06/2018,20/06/2018,9.31E+11,7.3386,17.4632,0.014262,0.057263,0.1165
19/06/2018,19/06/2018,9.27E+11,7.3067,17.3873,0.014324,0.057513,0.1165
18/06/2018,18/06/2018,9.42E+11,7.4267,17.6729,0.014093,0.056584,0.1165
15/06/2018,15/06/2018,9.43E+11,7.4306,17.6823,0.014085,0.056554,0.1165
14/06/2018,14/06/2018,9.53E+11,7.5078,17.8658,0.013941,0.055973,0.1066
13/06/2018,13/06/2018,9.52E+11,7.5038,17.8564,0.013948,0.056002,0.1066
12/06/2018,12/06/2018,9.60E+11,7.566,18.0044,0.013833,0.055542,0.1066
11/06/2018,11/06/2018,9.55E+11,7.5247,17.9061,0.013909,0.055847,0.1066
08/06/2018,08/06/2018,9.57E+11,7.5432,17.9501,0.013875,0.05571,0.1066
07/06/2018,07/06/2018,9.66E+11,7.6124,18.1149,0.013749,0.055203,0.1066
06/06/2018,06/06/2018,9.68E+11,7.6329,18.1636,0.013712,0.055055,0.1066
05/06/2018,05/06/2018,9.65E+11,7.6065,18.1008,0.01376,0.055246,0.1066
04/06/2018,04/06/2018,9.58E+11,7.5483,17.9622,0.013866,0.055672,0.1066
01/06/2018,01/06/2018,9.50E+11,7.4857,17.8134,0.013982,0.056138,0.1066
31/05/2018,31/05/2018,9.33E+11,7.3531,17.4978,0.014234,0.05715,0.1066
