date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
18/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
17/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
16/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
13/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
12/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
11/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
10/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
09/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
06/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
05/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
04/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
03/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
02/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
30/03/2018,31/12/2017,23813050630,11758050630,0.324801,0.316629,0.3535,1.3,11.7674,1956000000,1.3521,0.6069,2.008547,0.154347,11.31229,0.2796,1.947143,0.12423,-0.005263,3.57,52546000000,18575000000,1.71797E+11,1.00141E+11,43491000000,21355000000,21355000000,-4740000000,-13350000000,7015000000
29/03/2018,31/12/2017,23813050630,11758050630,0.324801,0.316629,0.3535,1.3,11.7674,1956000000,1.3521,0.6069,2.008547,0.154347,11.31229,0.2796,1.947143,0.12423,-0.005263,3.57,52546000000,18575000000,1.71797E+11,1.00141E+11,43491000000,21355000000,21355000000,-4740000000,-13350000000,7015000000
28/03/2018,31/12/2017,23813050630,11758050630,0.324801,0.316629,0.3535,1.3,11.7674,1956000000,1.3521,0.6069,2.008547,0.154347,11.31229,0.2796,1.947143,0.12423,-0.005263,3.57,52546000000,18575000000,1.71797E+11,1.00141E+11,43491000000,21355000000,21355000000,-4740000000,-13350000000,7015000000
