date,one_yr_monthly_beta
04/07/2016,1.0869
01/07/2016,1.0869
30/06/2016,1.0869
29/06/2016,1.0957
28/06/2016,1.0957
27/06/2016,1.0957
24/06/2016,1.0957
23/06/2016,1.0957
22/06/2016,1.0957
21/06/2016,1.0957
20/06/2016,1.0957
17/06/2016,1.0957
16/06/2016,1.0957
15/06/2016,1.0957
14/06/2016,1.0957
13/06/2016,1.0957
10/06/2016,1.0957
09/06/2016,1.0957
08/06/2016,1.0957
07/06/2016,1.0957
06/06/2016,1.0957
03/06/2016,1.0957
02/06/2016,1.0957
01/06/2016,1.0957
31/05/2016,1.0957
30/05/2016,1.0395
27/05/2016,1.0395
26/05/2016,1.0395
25/05/2016,1.0395
24/05/2016,1.0395
23/05/2016,1.0395
20/05/2016,1.0395
19/05/2016,1.0395
18/05/2016,1.0395
17/05/2016,1.0395
16/05/2016,1.0395
13/05/2016,1.0395
12/05/2016,1.0395
11/05/2016,1.0395
10/05/2016,1.0395
09/05/2016,1.0395
06/05/2016,1.0395
05/05/2016,1.0395
04/05/2016,1.0395
03/05/2016,1.0395
02/05/2016,1.0395
29/04/2016,0.9915
28/04/2016,0.9915
27/04/2016,0.9915
26/04/2016,0.9915
25/04/2016,0.9915
22/04/2016,0.9915
21/04/2016,0.9915
20/04/2016,0.9915
19/04/2016,0.9915
18/04/2016,0.9915
15/04/2016,0.9915
14/04/2016,0.9915
13/04/2016,0.9915
12/04/2016,0.9915
11/04/2016,0.9915
08/04/2016,0.9915
07/04/2016,0.9915
06/04/2016,0.9915
05/04/2016,0.9915
04/04/2016,0.9915
01/04/2016,0.9915
31/03/2016,0.9915
30/03/2016,1.4176
29/03/2016,1.4176
28/03/2016,1.4176
25/03/2016,1.4176
24/03/2016,1.4176
23/03/2016,1.4176
22/03/2016,1.4176
21/03/2016,1.4176
18/03/2016,1.4176
17/03/2016,1.4176
16/03/2016,1.4176
15/03/2016,1.4176
14/03/2016,1.4176
11/03/2016,1.4176
10/03/2016,1.4176
09/03/2016,1.4176
08/03/2016,1.4176
07/03/2016,1.4176
04/03/2016,1.4176
03/03/2016,1.4176
02/03/2016,1.4176
01/03/2016,1.4176
29/02/2016,1.4176
26/02/2016,1.3559
25/02/2016,1.3559
24/02/2016,1.3559
23/02/2016,1.3559
22/02/2016,1.3559
19/02/2016,1.3559
18/02/2016,1.3559
17/02/2016,1.3559
16/02/2016,1.3559
15/02/2016,1.3559
12/02/2016,1.3559
11/02/2016,1.3559
10/02/2016,1.3559
09/02/2016,1.3559
08/02/2016,1.3559
05/02/2016,1.3559
04/02/2016,1.3559
03/02/2016,1.3559
02/02/2016,1.3559
01/02/2016,1.3559
29/01/2016,1.3589
28/01/2016,1.3589
27/01/2016,1.3589
26/01/2016,1.3589
25/01/2016,1.3589
22/01/2016,1.3589
21/01/2016,1.3589
20/01/2016,1.3589
19/01/2016,1.3589
18/01/2016,1.3589
