date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2019-01-09,2019-01-09,252183491119.0,3.9783,22.6113,0.039818,0.044226
2019-01-08,2019-01-08,252707176265.0,3.9866,22.6582,0.039735,0.044134
2019-01-07,2019-01-07,251543431497.0,3.9683,22.5539,0.039919,0.044338
2019-01-04,2019-01-04,250205125015.0,3.9471,22.4339,0.040133,0.044575
2019-01-03,2019-01-03,244619150130.0,3.859,21.933,0.041049,0.045593
2019-01-02,2019-01-02,251659805974.0,3.9701,22.5643,0.039901,0.044318
2018-12-31,2018-12-31,253987295509.0,4.0068,22.773,0.039535,0.043912
2018-12-28,2018-12-28,250348777497.0,3.5113,10.5096,0.04017,0.095151
2018-12-27,2018-12-27,249707754091.0,3.5023,10.4827,0.040273,0.095396
2018-12-26,2018-12-26,245861613655.0,3.4484,10.3212,0.040903,0.096888
2018-12-24,2018-12-24,236304537419.0,3.3143,9.92,0.042557,0.100806
2018-12-21,2018-12-21,244346467422.0,3.4271,10.2576,0.041157,0.097489
2018-12-20,2018-12-20,244463017132.0,3.4287,10.2625,0.041137,0.097442
2018-12-19,2018-12-19,244579566843.0,3.4304,10.2674,0.041117,0.097396
2018-12-18,2018-12-18,247085385612.0,3.4655,10.3726,0.0407,0.096408
2018-12-17,2018-12-17,251222900324.0,3.5236,10.5463,0.04003,0.09482
2018-12-14,2018-12-14,255243865325.0,3.58,10.7151,0.039399,0.093326
2018-12-13,2018-12-13,259731029168.0,3.6429,10.9034,0.038719,0.091714
2018-12-12,2018-12-12,257341760109.0,3.6094,10.8031,0.039078,0.092566
2018-12-11,2018-12-11,256467637282.0,3.5971,10.7665,0.039211,0.092881
2018-12-10,2018-12-10,258740356631.0,3.629,10.8619,0.038867,0.092065
2018-12-07,2018-12-07,255943163587.0,3.5898,10.7444,0.039292,0.093071
2018-12-06,2018-12-06,262120298227.0,3.6764,11.0037,0.038366,0.090878
2018-12-04,2018-12-04,263052695908.0,3.6895,11.0429,0.03823,0.090556
2018-12-03,2018-12-03,268006058592.0,3.759,11.2508,0.037523,0.088882
2018-11-30,2018-11-30,269404655114.0,3.7786,11.3095,0.037329,0.088421
2018-11-29,2018-11-29,265208865547.0,3.7197,11.1334,0.037919,0.08982
2018-11-28,2018-11-28,261654099386.0,3.6699,10.9842,0.038434,0.09104
2018-11-27,2018-11-27,256817286413.0,3.602,10.7811,0.039158,0.092755
2018-11-26,2018-11-26,252563221991.0,3.5424,10.6025,0.039818,0.094317
2018-11-23,2018-11-23,251397724889.0,3.526,10.5536,0.040002,0.094754
2018-11-21,2018-11-21,251164625469.0,3.5227,10.5438,0.040039,0.094842
2018-11-20,2018-11-20,253670444238.0,3.5579,10.649,0.039644,0.093905
2018-11-19,2018-11-19,257458309819.0,3.611,10.808,0.039061,0.092524
2018-11-16,2018-11-16,253553894528.0,3.5563,10.6441,0.039662,0.093948
2018-11-15,2018-11-15,251805648875.0,3.5317,10.5707,0.039937,0.094601
2018-11-14,2018-11-14,250057403222.0,3.5072,10.4974,0.040217,0.095262
2018-11-13,2018-11-13,253612169383.0,3.5571,10.6466,0.039653,0.093927
2018-11-12,2018-11-12,257050385833.0,3.6053,10.7909,0.039123,0.092671
2018-11-09,2018-11-09,258041058370.0,3.6192,10.8325,0.038972,0.092315
2018-11-08,2018-11-08,255535239601.0,3.584,10.7273,0.039355,0.09322
2018-11-07,2018-11-07,256759011558.0,3.6012,10.7787,0.03124,0.092776
2018-11-06,2018-11-06,248720835295.0,3.4885,10.4412,0.03225,0.095774
2018-11-05,2018-11-05,251670094212.0,3.5298,10.5651,0.031872,0.094652
2018-11-02,2018-11-02,248258206446.0,3.482,10.4218,0.03231,0.095953
2018-11-01,2018-11-01,252537523305.0,3.542,10.6015,0.031763,0.094327
2018-10-31,2018-10-31,249009978326.0,3.4925,10.4534,0.032213,0.095663
2018-10-30,2018-10-30,248026892021.0,3.4787,10.4121,0.03234,0.096042
2018-10-29,2018-10-29,249993064632.0,3.5063,10.4947,0.032086,0.095287
2018-10-26,2018-10-26,246349862441.0,3.4552,10.3417,0.03256,0.096696
2018-10-25,2018-10-25,251033979544.0,3.5209,10.5383,0.031953,0.094892
2018-10-24,2018-10-24,245655919166.0,3.4455,10.3126,0.032652,0.096969
2018-10-23,2018-10-23,255024153372.0,3.5769,10.7059,0.031453,0.093407
2018-10-22,2018-10-22,256585525739.0,3.5988,10.7714,0.031261,0.092838
2018-10-19,2018-10-19,257337297620.0,3.6093,10.803,0.03117,0.092567
2018-10-18,2018-10-18,254445867310.0,3.5688,10.6816,0.031524,0.093619
2018-10-17,2018-10-17,257742097863.0,3.615,10.82,0.031121,0.092422
2018-10-16,2018-10-16,254041067066.0,3.5631,10.6646,0.031575,0.093768
2018-10-15,2018-10-15,249356949964.0,3.4974,10.4679,0.032168,0.09553
2018-10-12,2018-10-12,253173637973.0,3.5509,10.6282,0.031683,0.09409
2018-10-11,2018-10-11,247564263171.0,3.4722,10.3927,0.032401,0.096221
2018-10-10,2018-10-10,257395126226.0,3.6101,10.8054,0.031163,0.092546
2018-10-09,2018-10-09,262946672422.0,3.688,11.0384,0.030505,0.090593
2018-10-08,2018-10-08,261847928904.0,3.6726,10.9923,0.030633,0.090973
2018-10-05,2018-10-05,259708270475.0,3.6426,10.9025,0.030886,0.091722
